label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,5,56,2.5789437294006348,0.6968652009963989,6,10,10,4.498740015803332,14.700648722348205,0.9939459439460102
INVALID: all-local optimization with shared-model penalty,5,57,3.1729016304016113,0.9899753332138062,6,10,10,3.3108242138013786,14.114428457913391,0.9955117860408299
INVALID: all-local optimization with shared-model penalty,5,58,2.7268757820129395,1.0418096780776978,6,10,10,4.202875910578722,14.010759768185608,0.9926373241294763
INVALID: all-local optimization with shared-model penalty,5,59,3.0967044830322266,1.2146211862564087,6,10,10,3.463218508540148,13.665136751828186,0.993945972639163
INVALID: all-local optimization with shared-model penalty,5,60,3.3274002075195312,0.9854403734207153,6,10,10,3.0018270595655387,14.123498377499573,0.9961691702148673
INVALID: all-local optimization with shared-model penalty,5,61,4.723092079162598,3.9335193634033203,6,10,10,0.21044331627940593,8.227340397534363,0.9821624080259632
INVALID: all-local optimization with shared-model penalty,5,62,1.3979417085647583,-0.6772335767745972,6,10,10,6.860744057475085,17.448846277890198,0.9950037113990732
INVALID: all-local optimization with shared-model penalty,5,63,4.379772186279297,2.476656436920166,6,10,10,0.8970831020460075,11.141066250500671,0.9940712269457769
INVALID: all-local optimization with shared-model penalty,5,64,4.854398727416992,3.3327035903930664,6,10,10,-0.05216998022938313,9.42897194355487,0.991341958201905
INVALID: all-local optimization with shared-model penalty,5,65,2.960542678833008,1.2191919088363647,6,10,10,3.7355421169385856,13.655995306668274,0.9930374776845086
INVALID: all-local optimization with shared-model penalty,5,66,3.8664560317993164,2.0255560874938965,6,10,10,1.9237154110059684,12.04326694935321,0.9936930475744412
INVALID: all-local optimization with shared-model penalty,5,67,3.852567195892334,1.9654728174209595,6,10,10,1.9514930828199333,12.163433489499084,0.9939760516877482
INVALID: all-local optimization with shared-model penalty,5,68,0.3475841283798218,-1.2467130422592163,6,10,10,8.961459217844958,18.587805208859436,0.9919433886325631
INVALID: all-local optimization with shared-model penalty,5,69,1.495491623878479,-0.47502315044403076,6,10,10,6.665644226847643,17.044425425229065,0.9944555093370598
INVALID: all-local optimization with shared-model penalty,5,70,3.024876117706299,0.7139667272567749,6,10,10,3.6068752391920036,14.666445669827453,0.9960488326384597
INVALID: all-local optimization with shared-model penalty,5,71,1.4743059873580933,-0.5502655506134033,6,10,10,6.708015499888415,17.19491022556781,0.9947457367185476
